Student_ID,Age,Gender,Branch,Year_of_Study,Commute_Mode,Commute_Time_mins,Attendance_Percentage,Study_Hours_per_Day,Social_Media_Hours_per_Day,Sleep_Hours_per_Night,Part_Time_Job,Extracurricular_Activities,Peer_Learning,Mentorship_Available,Financial_Status,Previous_Semester_SGPA,Stress_Level,Number_of_KTs,Has_KT,Cleared_in_First_Attempt
MU00014,20,Male,Mechanical Engineering,First Year,Two-Wheeler,31,100,2.7,3.8,6.4,No,No,No,No,Lower Middle Class,6.82,Low,0,No,Yes
MU00015,21,Male,Computer Engineering,First Year,Local Train,107,88,2.8,3.5,5.8,No,Yes,No,Yes,Middle Class,6.33,Low,0,No,Yes
MU00016,21,Male,Electrical Engineering,Third Year,Local Train,144,77,2.5,4.8,6.9,No,No,No,Yes,Middle Class,5.03,Medium,2,Yes,No
MU00017,18,Male,Information Technology,First Year,Local Train,101,76,1.7,3.8,6.7,No,No,No,No,Lower Middle Class,5.8,Medium,2,Yes,No
MU00018,20,Male,Computer Engineering,First Year,Local Train,58,73,2.8,4.4,6.5,No,Yes,No,No,Middle Class,5.12,Medium,1,Yes,No
MU00019,23,Male,Computer Engineering,First Year,Two-Wheeler,26,61,0.0,5.5,5.4,No,No,Yes,Yes,Upper Middle Class,4.74,Low,0,No,Yes
MU00020,21,Male,Information Technology,First Year,Local Train,89,83,3.5,2.8,3.8,Yes,Yes,Yes,No,Middle Class,6.56,Medium,1,Yes,No
MU00021,18,Female,Mechanical Engineering,First Year,Local Train,109,67,5.7,3.7,8.0,No,No,Yes,No,Middle Class,6.13,Low,0,No,Yes
MU00022,23,Male,Mechanical Engineering,Second Year,Local Train,61,55,2.1,2.5,3.8,No,No,Yes,No,Middle Class,4.36,High,2,Yes,No
MU00023,20,Male,Artificial Intelligence & Data Science,Second Year,Local Train,63,89,4.9,4.5,4.5,No,No,Yes,Yes,Middle Class,5.92,Low,0,No,Yes
MU00024,19,Male,Computer Engineering,Final Year,Local Train,88,57,3.1,2.8,,No,Yes,Yes,Yes,Middle Class,5.42,High,3,Yes,No
MU00025,20,Male,Artificial Intelligence & Data Science,First Year,Bus,74,83,1.3,3.8,6.7,No,No,Yes,No,Middle Class,5.1,Medium,3,Yes,No
MU00026,24,Female,Mechanical Engineering,Second Year,Local Train,51,67,1.3,,6.2,Yes,No,No,No,Middle Class,4.82,High,5,Yes,No
MU00027,20,Male,Electronics & Telecom (EXTC),Final Year,Local Train,19,78,3.5,2.5,7.1,No,Yes,No,No,Middle Class,4.29,Low,1,Yes,No
MU00028,23,Male,Artificial Intelligence & Data Science,Final Year,Local Train,87,55,2.1,,8.4,No,No,No,Yes,Middle Class,5.44,Low,1,Yes,No
MU00029,23,Female,Mechanical Engineering,Second Year,Two-Wheeler,80,55,5.7,1.7,6.7,Yes,No,No,No,Middle Class,5.74,Low,1,Yes,No
MU00030,22,Male,Information Technology,Second Year,Local Train,76,81,2.6,6.4,5.0,No,No,Yes,Yes,Middle Class,6.16,Medium,1,Yes,No
MU00031,22,Female,Artificial Intelligence & Data Science,Third Year,Local Train,125,93,0.9,2.6,7.4,No,No,No,No,Lower Middle Class,4.47,High,3,Yes,No
MU00032,23,Male,Mechanical Engineering,Final Year,Local Train,59,88,2.5,5.4,7.7,Yes,No,No,No,Upper Middle Class,5.95,Medium,3,Yes,No
MU00033,23,Male,Mechanical Engineering,First Year,Local Train,93,74,0.3,1.4,5.7,No,No,No,Yes,Middle Class,4.58,Low,0,No,Yes
MU00034,19,Female,Artificial Intelligence & Data Science,Second Year,Local Train,122,53,0.0,3.5,6.8,No,Yes,No,No,Middle Class,4.8,High,7,Yes,No
MU00035,19,Female,Information Technology,Final Year,Local Train,86,37,2.8,4.6,5.8,No,No,Yes,Yes,Upper Middle Class,3.54,Medium,2,Yes,No
MU00036,20,Female,Mechanical Engineering,Second Year,Local Train,54,98,2.7,4.1,6.7,Yes,No,Yes,No,Upper Middle Class,6.18,Low,2,Yes,No
MU00037,24,Male,Civil Engineering,Third Year,Local Train,91,61,3.7,4.2,5.8,Yes,No,Yes,No,Middle Class,4.67,Low,1,Yes,No
MU00038,21,Male,Electronics & Telecom (EXTC),Third Year,Local Train,114,89,2.6,3.3,6.6,No,No,Yes,No,Upper Middle Class,5.55,Low,1,Yes,No
MU00039,24,Female,Computer Engineering,First Year,Bus,99,78,6.1,1.1,6.1,No,No,Yes,No,Upper Middle Class,6.19,Low,1,Yes,No
MU00040,19,Male,Civil Engineering,Second Year,Bus,33,38,3.2,0.8,8.7,No,Yes,Yes,No,Lower Middle Class,5.73,Medium,4,Yes,No
MU00041,20,Male,Computer Engineering,Third Year,Local Train,100,67,4.8,3.9,4.2,No,No,No,No,Middle Class,5.6,Medium,1,Yes,No
MU00042,24,Male,Civil Engineering,Third Year,Local Train,64,76,3.3,3.8,6.0,No,Yes,Yes,No,Middle Class,6.25,Medium,1,Yes,No
MU00043,18,Male,Artificial Intelligence & Data Science,Final Year,Bus,63,44,4.0,5.0,8.6,No,No,No,No,Lower Middle Class,5.64,Low,2,Yes,No
MU00044,22,Female,Information Technology,Final Year,Auto/Cab,11,64,4.1,1.4,8.3,No,No,Yes,Yes,Upper Middle Class,7.08,Low,0,No,Yes
MU00045,24,Male,Computer Engineering,First Year,Two-Wheeler,29,53,4.3,1.6,6.4,No,No,No,Yes,Middle Class,5.76,Low,0,No,Yes
MU00046,21,Female,Computer Engineering,Third Year,Local Train,138,91,2.5,3.8,5.0,No,No,Yes,Yes,Upper Middle Class,7.29,Low,0,No,Yes
MU00047,20,Male,Electronics & Telecom (EXTC),Second Year,Two-Wheeler,40,57,4.8,2.5,6.8,No,No,No,No,Middle Class,5.29,Medium,2,Yes,No
MU00048,24,Male,Artificial Intelligence & Data Science,Third Year,Local Train,51,76,0.9,3.0,6.1,No,No,Yes,No,Upper Middle Class,4.92,Low,1,Yes,No
MU00049,23,Male,Electronics & Telecom (EXTC),Second Year,Local Train,84,57,5.8,1.5,7.0,No,Yes,Yes,Yes,Upper Middle Class,7.07,Low,0,No,Yes
MU00050,18,Male,Computer Engineering,Third Year,Local Train,109,60,1.6,4.0,6.9,No,Yes,No,No,Middle Class,4.0,Low,1,Yes,No
MU00051,22,Female,Mechanical Engineering,Third Year,Local Train,96,67,,3.2,6.6,Yes,No,Yes,No,Middle Class,4.51,High,4,Yes,No
MU00052,18,Female,Civil Engineering,Third Year,Local Train,103,71,0.9,3.9,6.1,No,Yes,No,Yes,Upper Middle Class,4.37,Medium,1,Yes,No
MU00053,20,Female,Information Technology,Final Year,Local Train,147,70,2.7,4.8,6.1,Yes,Yes,No,No,Middle Class,4.05,High,3,Yes,No
MU00054,19,Female,Civil Engineering,First Year,Local Train,119,44,3.5,1.6,7.5,Yes,Yes,Yes,No,Middle Class,5.04,High,4,Yes,No
MU00055,22,Female,Information Technology,Second Year,Auto/Cab,33,83,4.1,3.9,5.1,No,No,Yes,Yes,Middle Class,7.06,Low,0,No,Yes
MU00056,18,Female,Civil Engineering,Second Year,Local Train,101,93,3.3,2.0,7.4,No,No,No,No,Upper Middle Class,7.11,Low,1,Yes,No
MU00057,19,Male,Information Technology,Final Year,Local Train,116,72,5.9,4.9,6.5,No,Yes,Yes,No,Upper Middle Class,5.64,Low,0,No,Yes
MU00058,21,Male,Information Technology,First Year,Walking,13,68,2.7,1.3,5.5,No,Yes,Yes,No,Middle Class,5.89,Low,0,No,Yes
MU00059,20,Male,Artificial Intelligence & Data Science,Second Year,Bus,74,86,3.4,2.8,8.0,No,No,No,No,Wealthy,5.39,Medium,1,Yes,No
MU00060,20,Male,Electronics & Telecom (EXTC),Final Year,Local Train,136,78,5.4,5.4,4.5,No,Yes,Yes,Yes,Middle Class,5.54,Low,0,No,Yes
MU00061,22,Male,Information Technology,Final Year,Bus,64,69,4.8,1.7,6.1,No,No,No,Yes,Middle Class,6.02,Low,1,Yes,No
MU00062,18,Male,Artificial Intelligence & Data Science,Final Year,Local Train,77,63,2.3,1.7,7.7,Yes,No,No,No,Wealthy,4.37,Medium,2,Yes,No
MU00063,21,Female,Mechanical Engineering,Second Year,Local Train,130,70,1.5,5.3,6.3,No,No,Yes,No,Lower Middle Class,5.53,High,3,Yes,No
MU00064,23,Male,Computer Engineering,Final Year,Two-Wheeler,28,43,3.2,2.6,6.9,No,No,No,No,Upper Middle Class,4.68,Low,0,No,Yes
MU00065,22,Male,Mechanical Engineering,Third Year,Local Train,158,74,2.4,6.1,7.2,No,No,Yes,No,Middle Class,,High,3,Yes,No
MU00066,23,Male,Artificial Intelligence & Data Science,Third Year,Two-Wheeler,45,92,4.1,2.7,8.0,No,No,Yes,Yes,Upper Middle Class,6.99,Low,0,No,Yes
MU00067,22,Male,Mechanical Engineering,First Year,Local Train,42,39,0.8,3.8,3.1,Yes,No,Yes,No,Middle Class,3.97,High,6,Yes,No
MU00068,18,Female,Computer Engineering,Third Year,Bus,69,35,,6.0,7.5,No,Yes,Yes,Yes,Lower Middle Class,4.62,Medium,1,Yes,No
MU00069,21,Male,Mechanical Engineering,Second Year,Local Train,132,82,1.4,0.2,6.8,No,No,Yes,No,Middle Class,6.15,Medium,2,Yes,No
MU00070,18,Other,Mechanical Engineering,Second Year,Auto/Cab,31,100,3.0,2.3,7.3,No,Yes,Yes,No,Lower Middle Class,7.9,Low,1,Yes,No
MU00071,20,Female,Electrical Engineering,Third Year,Local Train,91,100,4.4,3.8,7.4,No,No,No,No,Middle Class,6.25,Low,0,No,Yes
MU00072,23,Male,Computer Engineering,First Year,Auto/Cab,21,67,7.0,6.7,4.0,No,Yes,No,No,Upper Middle Class,5.0,Low,1,Yes,No
MU00073,19,Male,Mechanical Engineering,First Year,Local Train,123,80,3.4,3.9,7.7,No,Yes,Yes,No,Middle Class,,Low,2,Yes,No
MU00074,24,Female,Computer Engineering,Second Year,Bus,21,88,4.9,0.7,6.7,No,No,Yes,No,Middle Class,7.33,Low,0,No,Yes
MU00075,20,Female,Mechanical Engineering,Final Year,Bus,48,48,1.7,4.4,6.4,Yes,No,Yes,Yes,Upper Middle Class,5.25,Low,0,No,Yes
MU00076,20,Female,Artificial Intelligence & Data Science,First Year,Local Train,68,43,0.0,6.5,5.8,No,Yes,No,No,Wealthy,3.76,High,6,Yes,No
MU00077,23,Female,Computer Engineering,Final Year,Bus,76,67,4.7,2.3,5.1,No,No,No,Yes,Upper Middle Class,6.64,Medium,1,Yes,No
MU00078,22,Male,Information Technology,Third Year,Local Train,63,56,3.5,4.7,6.5,No,No,No,Yes,Middle Class,5.42,Medium,2,Yes,No
MU00079,20,Male,Electronics & Telecom (EXTC),Third Year,Local Train,68,75,2.6,4.7,6.7,No,Yes,Yes,Yes,Upper Middle Class,5.6,Low,0,No,Yes
MU00080,24,Male,Civil Engineering,Second Year,Two-Wheeler,33,65,2.0,4.6,6.5,No,Yes,No,No,Upper Middle Class,4.08,High,2,Yes,No
MU00081,21,Female,Information Technology,Third Year,Walking,11,97,3.6,6.0,,No,No,No,No,Upper Middle Class,5.42,Low,0,No,Yes
MU00082,20,Female,Mechanical Engineering,First Year,Bus,81,81,0.0,5.5,6.8,No,No,Yes,No,Middle Class,5.03,Low,2,Yes,No
MU00083,21,Male,Artificial Intelligence & Data Science,Second Year,Local Train,76,68,1.2,2.9,6.1,No,No,No,No,Middle Class,4.72,Low,1,Yes,No
MU00084,18,Male,Civil Engineering,Third Year,Local Train,106,39,2.1,1.9,7.3,No,No,Yes,No,Middle Class,6.61,Low,1,Yes,No
MU00085,22,Male,Civil Engineering,Final Year,Two-Wheeler,32,77,3.6,2.4,5.9,No,No,Yes,Yes,Middle Class,7.49,Low,0,No,Yes
MU00086,21,Male,Information Technology,First Year,Auto/Cab,19,75,3.7,3.7,3.9,No,No,Yes,No,Middle Class,6.19,Low,0,No,Yes
MU00087,20,Female,Artificial Intelligence & Data Science,Third Year,Bus,56,67,4.0,4.7,7.5,No,Yes,Yes,No,Middle Class,5.59,Medium,2,Yes,No
MU00088,22,Female,Information Technology,Final Year,Local Train,33,61,2.8,3.2,4.5,No,No,Yes,No,Upper Middle Class,4.43,Medium,2,Yes,No
MU00089,24,Female,Computer Engineering,Final Year,Local Train,54,62,4.1,5.8,8.3,No,Yes,Yes,No,Middle Class,6.66,Low,0,No,Yes
MU00090,22,Male,Information Technology,First Year,Local Train,52,92,1.1,2.3,5.7,No,No,No,No,Lower Middle Class,5.5,Medium,3,Yes,No
MU00091,21,Male,Mechanical Engineering,Third Year,Two-Wheeler,56,90,2.3,5.0,4.9,Yes,No,Yes,No,Middle Class,6.02,Low,0,No,Yes
MU00092,21,Female,Artificial Intelligence & Data Science,First Year,Auto/Cab,32,65,1.5,6.0,6.4,No,No,Yes,Yes,Middle Class,5.51,Low,1,Yes,No
MU00093,19,Female,Computer Engineering,Final Year,Bus,50,76,3.7,4.1,6.6,No,No,Yes,No,Middle Class,6.44,Low,0,No,Yes
MU00094,19,Male,Electrical Engineering,Second Year,Auto/Cab,24,77,2.2,2.8,8.3,No,No,Yes,Yes,Middle Class,5.91,Low,0,No,Yes
MU00095,22,Female,Electrical Engineering,Final Year,Local Train,69,51,3.9,4.5,7.5,No,Yes,No,Yes,Lower Middle Class,4.76,High,3,Yes,No
MU00096,23,Male,Electronics & Telecom (EXTC),Final Year,Bus,65,60,3.6,3.8,7.1,No,Yes,Yes,No,Upper Middle Class,5.95,High,3,Yes,No
MU00097,23,Male,Civil Engineering,Final Year,Local Train,79,90,2.8,6.1,5.9,No,No,No,No,Lower Middle Class,4.67,Medium,3,Yes,No
MU00098,19,Male,Computer Engineering,Final Year,Local Train,74,55,1.8,0.3,8.3,No,No,Yes,Yes,Wealthy,6.15,Low,0,No,Yes
MU00099,20,Male,Computer Engineering,First Year,Bus,72,62,3.4,1.8,9.0,No,No,Yes,Yes,Upper Middle Class,6.76,Low,0,No,Yes
MU00100,18,Male,Artificial Intelligence & Data Science,First Year,Local Train,99,67,,4.1,5.8,No,Yes,Yes,Yes,Middle Class,4.86,High,3,Yes,No
MU00101,22,Male,Electronics & Telecom (EXTC),Third Year,Bus,45,67,4.2,2.9,5.7,No,No,No,No,Lower Middle Class,5.53,Medium,2,Yes,No
MU00102,18,Female,Computer Engineering,Third Year,Bus,94,56,0.3,2.6,8.1,No,Yes,Yes,Yes,Middle Class,5.04,Medium,2,Yes,No
MU00103,19,Male,Mechanical Engineering,First Year,Two-Wheeler,67,65,3.1,3.1,6.7,No,No,Yes,Yes,Middle Class,6.78,Low,0,No,Yes
MU00104,21,Male,Artificial Intelligence & Data Science,Second Year,Bus,62,41,2.3,0.0,7.5,No,No,No,No,Upper Middle Class,4.06,High,4,Yes,No
MU00105,24,Female,Mechanical Engineering,Final Year,Local Train,108,80,2.0,5.7,8.6,No,Yes,No,No,Upper Middle Class,5.32,High,4,Yes,No
MU00106,22,Male,Information Technology,Final Year,Local Train,159,68,5.2,3.2,8.8,No,No,No,Yes,Middle Class,5.51,Low,1,Yes,No
MU00107,19,Male,Electronics & Telecom (EXTC),First Year,Local Train,108,48,2.2,3.0,7.4,No,No,Yes,Yes,Middle Class,5.47,Medium,3,Yes,No
MU00108,20,Female,Civil Engineering,Second Year,Local Train,49,61,0.0,2.1,7.6,No,Yes,Yes,No,Middle Class,4.54,Low,1,Yes,No
MU00109,24,Male,Computer Engineering,Third Year,Local Train,91,38,3.8,6.3,7.0,No,Yes,Yes,No,Wealthy,5.09,Low,1,Yes,No
MU00110,22,Male,Computer Engineering,Final Year,Local Train,79,53,4.6,1.0,8.7,No,Yes,Yes,No,Middle Class,4.72,Low,0,No,Yes
MU00111,22,Male,Electronics & Telecom (EXTC),Third Year,Bus,51,44,3.7,0.0,7.3,No,No,Yes,No,Upper Middle Class,4.98,Low,1,Yes,No
MU00112,23,Male,Mechanical Engineering,Final Year,Local Train,103,100,0.0,2.6,6.7,Yes,No,No,No,Middle Class,5.04,Medium,1,Yes,No
MU00113,21,Female,Information Technology,Final Year,Local Train,75,74,2.9,3.3,7.9,No,No,Yes,No,Middle Class,6.04,Medium,3,Yes,No
MU00114,22,Female,Information Technology,Final Year,Local Train,115,70,1.6,3.3,4.5,No,No,No,No,Middle Class,5.21,Low,1,Yes,No
MU00115,21,Female,Computer Engineering,Third Year,Local Train,71,56,5.3,2.2,,No,No,No,Yes,Wealthy,4.7,Low,0,No,Yes
MU00116,19,Female,Computer Engineering,Final Year,Local Train,57,74,2.4,1.4,6.2,No,Yes,No,No,Middle Class,5.67,Medium,2,Yes,No
MU00117,20,Female,Information Technology,Final Year,Local Train,128,72,3.5,4.2,4.6,No,Yes,No,No,Middle Class,3.76,Medium,1,Yes,No
MU00118,24,Male,Electronics & Telecom (EXTC),Second Year,Local Train,81,82,3.4,1.2,,No,No,No,Yes,Middle Class,5.91,Medium,2,Yes,No
MU00119,24,Female,Electronics & Telecom (EXTC),First Year,Local Train,113,63,4.3,2.7,6.3,No,No,No,No,Wealthy,5.93,Low,1,Yes,No
MU00120,20,Male,Electronics & Telecom (EXTC),Final Year,Local Train,61,61,5.2,3.7,5.3,No,No,No,No,Middle Class,6.13,High,4,Yes,No
MU00121,22,Female,Information Technology,First Year,Local Train,84,60,2.8,2.8,6.2,No,Yes,Yes,No,Middle Class,6.23,Medium,3,Yes,No
MU00122,22,Female,Information Technology,Second Year,Local Train,109,66,1.2,6.7,6.3,No,No,Yes,No,Upper Middle Class,4.64,Medium,2,Yes,No
MU00123,19,Male,Information Technology,Final Year,Local Train,66,72,5.4,4.9,7.9,No,Yes,Yes,No,Middle Class,,Low,0,No,Yes
MU00124,23,Male,Computer Engineering,Final Year,Bus,69,89,2.3,3.7,5.1,No,No,Yes,No,Middle Class,6.13,Low,0,No,Yes
MU00125,23,Male,Computer Engineering,First Year,Local Train,125,88,4.0,2.9,6.5,No,No,Yes,Yes,Upper Middle Class,5.74,Medium,1,Yes,No
MU00126,23,Male,Information Technology,Second Year,Bus,67,67,2.4,1.7,6.4,No,No,Yes,No,Upper Middle Class,5.19,Low,1,Yes,No
MU00127,21,Female,Artificial Intelligence & Data Science,Second Year,Local Train,73,100,2.9,7.4,7.3,Yes,No,Yes,Yes,Middle Class,5.88,Low,1,Yes,No
MU00128,23,Female,Information Technology,Second Year,Auto/Cab,13,77,0.7,2.9,5.1,No,Yes,Yes,No,Wealthy,5.55,High,4,Yes,No
MU00129,20,Male,Artificial Intelligence & Data Science,Final Year,Local Train,67,78,2.8,2.3,6.7,Yes,No,Yes,No,Middle Class,8.1,Low,1,Yes,No
MU00130,24,Male,Information Technology,Third Year,Bus,42,82,3.7,4.1,8.1,No,No,No,No,Lower Middle Class,5.59,Low,0,No,Yes
MU00131,24,Male,Information Technology,Final Year,Local Train,114,89,1.7,2.3,7.1,No,Yes,No,No,Middle Class,5.31,Low,2,Yes,No
MU00132,21,Male,Civil Engineering,First Year,Local Train,62,84,4.8,4.6,6.9,No,Yes,No,No,Upper Middle Class,4.98,Low,0,No,Yes
MU00133,19,Male,Computer Engineering,Second Year,Bus,54,61,5.3,,4.6,No,No,Yes,No,Middle Class,4.95,Low,0,No,Yes
MU00134,20,Male,Computer Engineering,Final Year,Local Train,95,64,3.1,1.5,7.6,No,Yes,Yes,No,Upper Middle Class,6.66,Medium,2,Yes,No
MU00135,24,Female,Artificial Intelligence & Data Science,Second Year,Local Train,78,50,3.6,4.9,6.8,No,Yes,No,No,Middle Class,4.05,Low,1,Yes,No
MU00136,20,Male,Electronics & Telecom (EXTC),Second Year,Auto/Cab,13,78,3.5,4.9,5.2,No,No,No,No,Middle Class,5.79,Low,1,Yes,No
MU00137,24,Male,Computer Engineering,Final Year,Two-Wheeler,57,84,2.3,3.7,6.0,No,No,No,No,Middle Class,6.35,Medium,3,Yes,No
MU00138,18,Female,Computer Engineering,Final Year,Bus,47,85,1.9,3.1,7.0,No,Yes,Yes,Yes,Middle Class,6.21,Low,0,No,Yes
MU00139,19,Male,Artificial Intelligence & Data Science,Third Year,Two-Wheeler,42,74,1.8,0.5,6.6,No,No,No,No,Upper Middle Class,4.89,Low,1,Yes,No
MU00140,19,Female,Artificial Intelligence & Data Science,Third Year,Local Train,74,79,1.2,3.4,6.3,No,No,Yes,No,Middle Class,6.0,Medium,1,Yes,No
MU00141,18,Female,Electronics & Telecom (EXTC),First Year,Bus,48,45,2.1,1.9,8.2,No,Yes,Yes,Yes,Middle Class,6.89,Low,0,No,Yes
MU00142,21,Male,Computer Engineering,Final Year,Local Train,50,63,4.5,4.7,5.1,No,Yes,No,No,Middle Class,5.99,High,3,Yes,No
MU00143,24,Male,Electrical Engineering,Final Year,Local Train,90,62,2.3,5.3,,No,Yes,Yes,No,Lower Middle Class,4.27,Medium,2,Yes,No
MU00144,24,Male,Information Technology,First Year,Two-Wheeler,20,92,3.8,5.9,5.9,No,No,Yes,No,Middle Class,6.01,Medium,2,Yes,No
MU00145,24,Male,Information Technology,First Year,Local Train,98,75,3.7,4.8,7.3,No,No,Yes,No,Upper Middle Class,5.86,High,3,Yes,No
MU00146,23,Male,Mechanical Engineering,Final Year,Bus,54,74,3.2,7.1,6.5,No,No,Yes,No,Middle Class,5.55,High,3,Yes,No
MU00147,23,Female,Information Technology,First Year,Local Train,61,50,3.4,2.2,5.7,Yes,No,Yes,No,Middle Class,4.53,Low,1,Yes,No
MU00148,23,Male,Mechanical Engineering,Final Year,Local Train,55,51,1.2,2.5,6.3,No,No,No,Yes,Upper Middle Class,6.08,Medium,2,Yes,No
MU00149,23,Male,Artificial Intelligence & Data Science,Final Year,Walking,10,67,3.1,4.0,6.9,No,No,No,Yes,Middle Class,5.84,Low,0,No,Yes
MU00150,23,Male,Civil Engineering,Final Year,Two-Wheeler,49,81,2.1,3.4,6.7,No,No,Yes,No,Middle Class,5.67,Low,2,Yes,No
MU00151,18,Female,Information Technology,Third Year,Local Train,88,56,4.8,2.7,5.7,No,Yes,Yes,No,Upper Middle Class,5.23,Medium,2,Yes,No
MU00152,19,Male,Information Technology,Second Year,Bus,63,92,3.7,5.4,3.9,Yes,Yes,Yes,No,Middle Class,5.32,Low,1,Yes,No
MU00153,21,Male,Information Technology,First Year,Local Train,104,58,4.2,1.8,5.5,No,No,Yes,No,Middle Class,6.75,High,3,Yes,No
MU00154,20,Male,Information Technology,Third Year,Local Train,137,78,2.8,4.9,6.9,No,No,No,No,Middle Class,4.35,High,4,Yes,No
MU00155,23,Other,Electronics & Telecom (EXTC),Second Year,Two-Wheeler,25,59,1.9,4.1,7.8,No,No,No,No,Upper Middle Class,5.85,Medium,2,Yes,No
MU00156,18,Male,Information Technology,Third Year,Local Train,71,88,2.6,1.4,6.8,No,No,Yes,No,Middle Class,7.73,Low,0,No,Yes
MU00157,24,Female,Computer Engineering,Second Year,Local Train,105,98,0.7,4.0,5.8,Yes,No,Yes,No,Upper Middle Class,4.53,High,3,Yes,No
MU00158,21,Female,Computer Engineering,First Year,Local Train,112,79,1.6,1.0,6.9,No,No,Yes,No,Middle Class,5.77,High,3,Yes,No
MU00159,21,Male,Information Technology,Second Year,Local Train,91,60,0.9,,7.8,Yes,No,No,No,Middle Class,4.58,High,7,Yes,No
MU00160,21,Female,Electronics & Telecom (EXTC),Final Year,Local Train,29,56,2.6,3.5,7.2,No,Yes,Yes,No,Middle Class,4.98,Low,1,Yes,No
MU00161,18,Male,Electronics & Telecom (EXTC),Second Year,Bus,15,59,4.3,3.6,8.2,No,No,No,No,Middle Class,6.17,Low,1,Yes,No
MU00162,20,Female,Electronics & Telecom (EXTC),Second Year,Local Train,87,63,2.6,,5.7,No,Yes,Yes,Yes,Lower Middle Class,4.63,Medium,2,Yes,No
MU00163,23,Female,Civil Engineering,Second Year,Local Train,122,61,1.3,2.2,5.3,No,No,Yes,No,Upper Middle Class,5.12,High,4,Yes,No
MU00164,21,Male,Civil Engineering,First Year,Local Train,133,89,3.8,1.2,8.0,Yes,No,No,No,Middle Class,5.27,Medium,1,Yes,No
MU00165,18,Male,Information Technology,Final Year,Local Train,38,71,0.4,3.2,7.4,No,Yes,Yes,Yes,Middle Class,5.24,Low,2,Yes,No
MU00166,24,Female,Computer Engineering,Third Year,Local Train,103,78,1.2,,8.1,No,Yes,Yes,No,Upper Middle Class,6.36,Low,0,No,Yes
MU00167,19,Male,Electronics & Telecom (EXTC),First Year,Local Train,103,51,3.4,2.5,6.9,No,No,Yes,Yes,Middle Class,6.34,Low,1,Yes,No
MU00168,24,Male,Information Technology,Second Year,Local Train,74,65,4.7,2.9,4.2,No,Yes,No,No,Middle Class,5.18,Medium,1,Yes,No
MU00169,18,Male,Computer Engineering,Final Year,Local Train,94,79,2.7,3.2,5.7,No,No,Yes,No,Upper Middle Class,6.36,Low,1,Yes,No
MU00170,18,Female,Artificial Intelligence & Data Science,Third Year,Local Train,82,63,0.2,3.0,6.4,No,Yes,Yes,Yes,Middle Class,5.73,High,4,Yes,No
MU00171,18,Female,Information Technology,Second Year,Bus,37,74,3.2,3.3,5.5,No,No,No,No,Middle Class,5.3,Medium,1,Yes,No
MU00172,21,Male,Mechanical Engineering,Second Year,Local Train,71,64,5.8,5.2,7.0,No,No,No,No,Middle Class,4.87,Low,1,Yes,No
MU00173,18,Male,Electronics & Telecom (EXTC),Second Year,Local Train,150,88,4.5,4.6,5.8,Yes,No,No,No,Middle Class,5.95,Low,1,Yes,No
